Variable 1,Variable 2,Correlation,p-value
ele 2 foundation mortar condition,Bracing,-0.2899988489751139,0.01729047917492534
SILL 2,1960_treat_7,0.28637220811301206,0.018804666814507032
Height,Bracing,0.28596296331037385,0.018982439907261634
Out of Plane,PC mean,0.28531109613549105,0.019268569686788754
PC mean,treatment_2,-0.2846300923331638,0.019571412240409005
treatment_9,1960_treat_13,0.2839372243904292,0.019883688550610845
1960_treat_13,1960_treat_17,0.2839372243904292,0.019883688550610845
1960_treat_13,1960_treat_19,0.2839372243904292,0.019883688550610845
Coat 2 WGT SCR,1960_treat_21,0.28327219001015846,0.02018740596439189
Coat 2 WGT SCR,1960_treat_17,0.2801777869148641,0.021653124275690813
Cracking Wall Junction,1960_treat_19,0.279217544499763,0.02212596120662777
1960_treat_8,1960_treat_21,0.27773186030035385,0.022874804261013244
1960_treat_8,1960_treat_15,0.2777318603003538,0.022874804261013244
SILL 2,1960_treat_18,0.27725417900266913,0.023120096721547804
fireplace,treatment_20,0.27719638449569656,0.023149925296049544
foundation height 2,1960_treat_5,0.27647620125795974,0.0235243677169411
ele 2 foundation displ,Bracing,-0.27493949297303233,0.024340531467731966
Coat 1 Cracking,foundation height 2,-0.27459241363522024,0.024528150958144687
Sill 1,foundation height 2,0.2743609618725455,0.024653945015136125
Lintel Deteriration,1960_treat_7,-0.27302969521272163,0.025388135066759084
Coat 1 Cracking,1960_treat_1,-0.2691315323432849,0.027645048734433405
Coat 1 Cracking,1960_treat_2,-0.2691315323432849,0.027645048734433405
fireplace,1960_treat_18,0.26898904400694124,0.027730647189665423
treatment_5,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_10,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_11,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_12,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_13,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_14,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_15,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_16,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_17,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_18,1960_treat_5,0.26890089681459284,0.02778371241236687
treatment_19,1960_treat_5,0.26890089681459284,0.02778371241236687
1960_treat_5,1960_treat_11,0.26890089681459284,0.02778371241236687
1960_treat_5,1960_treat_12,0.26890089681459284,0.02778371241236687
1960_treat_5,1960_treat_14,0.26890089681459284,0.02778371241236687
Bracing,treatment_5,0.2689008968145928,0.02778371241236687
Bracing,treatment_10,0.2689008968145928,0.02778371241236687
Bracing,treatment_11,0.2689008968145928,0.02778371241236687
Bracing,treatment_12,0.2689008968145928,0.02778371241236687
Bracing,treatment_13,0.2689008968145928,0.02778371241236687
Bracing,treatment_14,0.2689008968145928,0.02778371241236687
Bracing,treatment_15,0.2689008968145928,0.02778371241236687
treatment_9,1960_treat_5,0.2689008968145928,0.02778371241236687
1960_treat_5,1960_treat_17,0.2689008968145928,0.02778371241236687
foundation height,1960_treat_10,0.2686586006083368,0.02793001717636957
PC mean,1960_treat_16,0.2673815759234001,0.028711879026615754
ele 2 foundation mortar condition,1960_treat_7,0.2666484309712016,0.02916900854889035
PC mean,1960_treat_1,-0.2629653999302974,0.03155901732897203
PC mean,1960_treat_2,-0.2629653999302974,0.03155901732897203
Coat2 Loss,1960_treat_17,0.2626887744045475,0.03174496324310082
PC mean,1960_treat_6,-0.26267076400232114,0.0317571014655313
PC mean,1960_treat_9,-0.25907487063159607,0.03425967740725376
Lintel Deteriration,1960_treat_5,0.2574369709107522,0.03545298250581538
Structural Cracking,Lintel Deteriration,-0.25301937623564297,0.038845218609231305
Coat2 Loss,1960_treat_21,0.25257149387990624,0.039203695404968854
Lintel Deteriration,1960_treat_9,-0.2524789482589747,0.039278108192807415
Coat 2 WGT SCR,PC mean,0.251420473143542,0.04013755355029058
Structural Cracking,Out of Plane,0.25125314068388793,0.040274837205942576
treatment_3,treatment_6,0.25004133256207456,0.04128068382846488
ele 2 foundation displ,1960_treat_6,0.24988101161443793,0.041415299395583936
foundation height,1960_treat_5,0.24965179237292118,0.04160839677439835
Sill 1,1960_treat_7,0.24885941697838054,0.04228164777573557
