block name,point 1,point 2,point 3,point 4,point 5,point 6,point 7,point 8,point 9
5729B,"2751.202490598671, 771.9898012232018","2873.856159955004, 771.9898012261172","2873.856159955004, 752.7569318568427","2751.199644860834, 752.771413788957","2751.202490598671, 771.9898012232018"
5705A,"2836.890007387077, 752.7741294033153","2873.597529259772, 752.7441294033154","2873.596610422489, 562.2038685539372","2836.889088550162, 562.2038685538632","2836.890007387077, 752.7741294033153"
5705B,"2836.889088550162, 562.203868546067","2836.889088550162, 444.8486845246157","2873.85615996278, 444.8486845254944","2873.8561599625427, 562.2038685539379","2836.889088550162, 562.203868546067"
5725B,"2616.335547506203, 485.75735140333325","2616.33554748924, 522.2248678199102","2836.889088550243, 522.2248678203558","2836.8890885292876, 485.7573514055548"
5725A,"2349.073612144563, 524.9724204252561","2574.622703374024, 524.9724204324134","2574.622703374419, 485.7573514029132","2349.0736121449577, 485.75735140064137","2349.07361214248, 524.9724204252561"
5705C,"2836.889088530974, 487.0367163431788","2836.889088530974, 321.8579339226001","2873.856159965808, 321.8579339234788","2873.856159961777, 487.0367163440575","2836.889088549159, 487.0367163431788"
5705D,"2873.856159966811, 321.8579339234787","2873.856159966812, 187.8009917645673","2836.764199794722, 187.8009917650867","2836.76419979164, 321.8579339225971","2873.856159966811, 321.8579339234787"
5705E,"2873.856159966812, 187.80099176316622","2873.856159966812, 60.49531474410665","2836.76419980102, 60.49531474667374","2836.764199794722, 187.80099176368563","2873.856159969893, 187.80099176456733"
5705F,"2836.76419980102, 18.307282929511715","2836.612142951291, -67.55600743236886","2873.856159974961, -67.62196353393483","2873.856159980909, 18.307282926944623","2836.764201251346, 18.307282926944623"
5706D,"2744.860142071934, -36.95618711069959","2836.612142951291, -36.95618711069959","2836.612142951291, -67.55600743236884","2744.860142071934, -67.55600743236884"
5706C,"2615.0998844106534, -52.254591665053844","2615.0734355203813, -67.18972118560245","2744.833332350922, -67.39347468114292","2744.860142071934, -36.95618711069959","2615.0998844106534, -36.95618710988515"
5731A,"2836.889088531977, 358.2459327141841","2725.927349238719, 358.2459327141841","2725.9397521103638, 321.8579339230395","2836.889088531977, 321.8579339230395","2836.889358070952, 358.2459327121876"
5726A,"2725.933550674543, 321.8528833912718","2514.4172571628174, 320.7816949373638","2514.417534691575, 358.2483213767941","2725.933550674543, 358.2483213767941","2725.93355067454, 321.8528833912718"
5728A,"2569.1275981680396, 20.352480964697776","2615.086659967466, 20.35248096290566","2615.086659967466, 126.47455022853","2569.127598164732, 126.47455022852859","2569.127598160594, 20.352480964697776"
5728B,"2569.1275981680396, 20.352480964697776","2568.972758797659, -36.95618711024403","2615.0866599652304, -36.95618711024403","2615.0866599686397, 20.35248096290566","2569.1277423021284, 20.43387043922202"
5706B,"2615.0734355203813, -67.18972118560245","2481.416415384886, -66.92698491129433","2481.4159501004788, -38.39811952007608","2569.1531219278995, -38.39811952007607","2569.127598169826, -36.95618711024403","2615.0866599647657, -36.956187110292376","2615.0734355203813, -67.18972118560245"
5706A,"2481.4164665740864, -66.92698501191948","2349.323298927057, -66.62401445618889","2349.323298927057, -37.20760068287199","2481.4159501004788, -38.39811952007607","2481.4164665740864, -66.92698501191948"
5724A,"2337.2853758964507, -66.62401445618889","2310.3354005931274, -66.62401445618889","2310.335400588005, 321.71122649787867","2349.325950670398, 320.7829178182785","2349.323298927057, -37.20760068287199","2349.323298927057, -66.62401445618889","2337.2853758964507, -66.62401445618889"
5718C,"2458.1076358008017, 320.7821120396495","2349.325950670398, 320.7829178182785","2310.335400588005, 321.71122649787867","2252.053374506608, 321.6913610278422","2252.053645311538, 358.2502648003467","2458.1076358008017, 358.2502648003467","2458.1073582629356, 320.7821120417052"
5718B,"2252.053374506608, 321.6913610278422","1987.4864417804224, 321.5263076901628","1987.4867138224781, 358.2522245426232","2252.053645311538, 358.2502648003467","2252.053374506608, 321.6913610278422"
5722B,"2215.007350948459, 42.43296027966605","2215.007350948459, -36.03847648762693","2238.7741440601435, -36.03847649321935","2238.774144066011, 42.43296027966602","2215.007350948459, 42.43296027966605"
