Variable 1,Variable 2,Correlation,p-value,num_occurrences
Height,1960_treat_14,-0.49555004920169426,2.0103396465115377e-05,67
Cracking Wall Junction,treatment_9,0.4954900934186546,2.0157111513740818e-05,67
1960_treat_7,1960_treat_9,0.49473441436639437,2.084567173736852e-05,67
treatment_6,1960_treat_15,0.48850421045919706,2.7414469350856973e-05,67
Height,Wall Rank,-0.487700526313585,2.8389528705991475e-05,67
treatment_9,1960_treat_17,0.4846153846153846,3.2439348574890346e-05,67
treatment_9,1960_treat_19,0.4846153846153846,3.2439348574890346e-05,67
1960_treat_17,1960_treat_19,0.4846153846153846,3.2439348574890346e-05,67
1960_treat_10,1960_treat_18,0.4763644370889549,4.6052452936031494e-05,67
fireplace,1960_treat_7,0.4716231339669552,5.609862891218219e-05,67
Cap Deterioration,Height,0.4705753344987504,5.8576280304764964e-05,67
1960_treat_9,1960_treat_10,0.4624068319422388,8.16535512759929e-05,67
ele 2 foundation displ,ele 2 foundation mortar condition,0.4584374600441372,9.566793451965748e-05,67
Out of Plane,Bracing,0.4577322858330332,9.837829614760852e-05,67
1960_treat_6,1960_treat_9,0.45068097685406566,0.00012965126598846695,67
Coat2 Cracking,Lintel Deteriration,-0.43680883643233626,0.0002193429864004795,67
Height,1960_treat_13,-0.43156375376317535,0.00026603870899414434,67
Coat2 Cracking,Coat2 Loss,0.4305557812873584,0.0002759930535282206,67
SILL 2,PC mean,-0.41882237669872635,0.00041975384505924315,67
PC deviation,1960_treat_1,0.4142185002860742,0.0004927874340280032,67
PC deviation,1960_treat_2,0.4142185002860742,0.0004927874340280032,67
treatment_9,1960_treat_8,0.39578195593452287,0.0009159968636863424,67
1960_treat_8,1960_treat_17,0.39578195593452287,0.0009159968636863424,67
fireplace,1960_treat_11,0.3950188758143892,0.0009390938593764689,67
fireplace,1960_treat_12,0.3950188758143892,0.0009390938593764689,67
fireplace,1960_treat_14,0.3950188758143892,0.0009390938593764689,67
Coat 1 Cracking,Lintel Deteriration,0.38900292056347224,0.0011404582207121148,67
treatment_6,1960_treat_5,0.3862723769652047,0.0012441005038423755,67
treatment_3,treatment_16,0.38610688370064794,0.0012506468418421585,67
treatment_3,treatment_17,0.38610688370064794,0.0012506468418421585,67
treatment_3,treatment_18,0.38610688370064794,0.0012506468418421585,67
treatment_3,treatment_19,0.38610688370064794,0.0012506468418421585,67
1960_treat_16,1960_treat_19,0.38610688370064794,0.0012506468418421585,67
elev 1 foundation disp,foundation height 2,0.3820554409647668,0.0014209116055407826,67
SILL 2,1960_treat_10,0.3813094466709983,0.0014544462085161062,67
foundation height 2,1960_treat_8,0.37685338453966527,0.0016700198221969692,67
Coat 1 Cracking,Coat 1 Loss,0.3666472099512118,0.0022755418496420115,67
SILL 2,1960_treat_6,0.36610299792975964,0.0023127524204113008,67
Coat 1 Cracking,1960_treat_9,-0.3645540224792122,0.0024216607667797256,67
fireplace,PC mean,-0.3640679933425341,0.0024567659040331752,67
PC deviation,1960_treat_15,-0.3633554649938739,0.0025090528975864564,67
Total Scr,1960_treat_11,-0.358832557913239,0.00286476825478198,67
Total Scr,1960_treat_12,-0.358832557913239,0.00286476825478198,67
Total Scr,1960_treat_14,-0.358832557913239,0.00286476825478198,67
1960_treat_6,1960_treat_13,0.3565010226172355,0.0030651519637864308,67
Height,1960_treat_1,0.3520899544785937,0.0034786803925585565,67
Height,1960_treat_2,0.3520899544785937,0.0034786803925585565,67
ele 2 foundation displ,1960_treat_15,0.3491388855295968,0.003782323182539602,67
Bracing score,1960_treat_20,0.3439689234606118,0.0043713336754827,67
Bracing score,treatment_20,0.34396892346061175,0.0043713336754827,67
SILL 2,1960_treat_9,0.3428615187735289,0.004507581008610371,67
Wall WGT SCR,1960_treat_11,-0.34197166870717677,0.00461977058271061,67
Wall WGT SCR,1960_treat_12,-0.34197166870717677,0.00461977058271061,67
Wall WGT SCR,1960_treat_14,-0.34197166870717677,0.00461977058271061,67
foundation_score_mina,1960_treat_11,-0.34197166869152074,0.004619770584706007,67
foundation_score_mina,1960_treat_12,-0.34197166869152074,0.004619770584706007,67
foundation_score_mina,1960_treat_14,-0.34197166869152074,0.004619770584706007,67
SILL 2,fireplace,0.3417841413327632,0.004643726061288412,67
1960_treat_7,1960_treat_18,0.34129681581215565,0.004706493289869438,67
Out of Plane,PC deviation,-0.3410638847585185,0.004736758708570085,67
SILL 2,1960_treat_5,0.3402512976145477,0.0048436918046507495,67
Coat WGT SCR,Lintel Deteriration,0.33725257190333535,0.005257001632192677,67
Sill 1,1960_treat_10,0.3349325646915778,0.005597802791367813,67
1960_treat_10,1960_treat_15,0.3342789617107607,0.005697263857275892,67
ele 2 foundation mortar condition,1960_treat_18,-0.331053406492636,0.006211249383706755,67
